index,timestamp,value,is_weekend_or_holiday,signal_earthgeckoSkyline,signal_echoStateNetwork,signal_bayesChangePt,cwde_score,cwde_alert
0,2023-10-09 00:00,6701.0,0,0,0,0,0.0,0
1,2023-10-09 01:00,9398.0,0,0,0,0,0.0,0
2,2023-10-09 02:00,15859.0,0,0,0,0,0.0,0
3,2023-10-09 03:00,19217.0,0,0,0,0,0.0,0
4,2023-10-09 04:00,15196.0,0,0,0,0,0.0,0
5,2023-10-09 05:00,12097.0,0,0,0,0,0.0,0
6,2023-10-09 06:00,11701.0,0,0,0,0,0.0,0
7,2023-10-09 07:00,13549.0,0,0,0,0,0.0,0
8,2023-10-09 08:00,12705.0,0,0,0,0,0.0,0
9,2023-10-09 09:00,13787.0,0,0,0,0,0.0,0
10,2023-10-09 10:00,12764.0,0,0,0,0,0.0,0
11,2023-10-09 11:00,8580.0,0,0,0,0,0.0,0
12,2023-10-09 12:00,7498.0,0,0,1,0,0.375,0
13,2023-10-09 13:00,7420.0,0,0,1,0,0.375,0
14,2023-10-09 14:00,6670.0,0,0,0,0,0.0,0
15,2023-10-09 15:00,6083.0,0,0,0,0,0.0,0
16,2023-10-09 16:00,5883.0,0,0,0,0,0.0,0
17,2023-10-09 17:00,5945.0,0,0,0,0,0.0,0
18,2023-10-09 18:00,6637.0,0,0,0,0,0.0,0
19,2023-10-09 19:00,6000.0,0,0,0,0,0.0,0
20,2023-10-09 20:00,5782.0,0,0,0,0,0.0,0
21,2023-10-09 21:00,5692.0,0,0,0,0,0.0,0
22,2023-10-09 22:00,5447.0,0,0,0,0,0.0,0
23,2023-10-09 23:00,5917.0,0,0,0,0,0.0,0
24,2023-10-10 00:00,5032.0,0,0,0,1,0.16666666666666666,0
25,2023-10-10 01:00,6522.0,0,0,0,0,0.0,0
26,2023-10-10 02:00,11173.0,0,0,0,0,0.0,0
27,2023-10-10 03:00,13211.0,0,0,0,0,0.0,0
28,2023-10-10 04:00,11720.0,0,0,0,0,0.0,0
