index,timestamp,value,is_weekend_or_holiday,signal_echoStateNetwork,signal_earthgeckoSkyline,signal_bayesChangePt,cwde_score,cwde_alert
0,2023-10-09 00:00,70636890.0,0,0,0,0,0.0,0
1,2023-10-09 01:00,141965063.0,0,0,0,0,0.0,0
2,2023-10-09 02:00,625205225.0,0,0,0,0,0.0,0
3,2023-10-09 03:00,942313274.0,0,0,0,0,0.0,0
4,2023-10-09 04:00,704080595.0,0,0,0,0,0.0,0
5,2023-10-09 05:00,419203326.0,0,0,0,0,0.0,0
6,2023-10-09 06:00,739907606.0,0,0,0,0,0.0,0
7,2023-10-09 07:00,680226831.0,0,0,0,0,0.0,0
8,2023-10-09 08:00,1793126513.0,0,0,0,0,0.0,0
9,2023-10-09 09:00,517075463.0,0,0,0,0,0.0,0
10,2023-10-09 10:00,370113824.0,0,0,0,0,0.0,0
11,2023-10-09 11:00,259629516.0,0,0,0,0,0.0,0
12,2023-10-09 12:00,233275367.0,0,0,0,0,0.0,0
13,2023-10-09 13:00,188148615.0,0,0,0,0,0.0,0
14,2023-10-09 14:00,253094238.0,0,0,0,0,0.0,0
15,2023-10-09 15:00,275838635.0,0,0,0,0,0.0,0
16,2023-10-09 16:00,154992081.0,0,0,0,0,0.0,0
17,2023-10-09 17:00,221032315.0,0,0,0,0,0.0,0
18,2023-10-09 18:00,194576437.0,0,0,0,0,0.0,0
19,2023-10-09 19:00,67680454.0,0,0,0,0,0.0,0
20,2023-10-09 20:00,363425387.0,0,0,0,0,0.0,0
21,2023-10-09 21:00,380972239.0,0,0,0,0,0.0,0
22,2023-10-09 22:00,351529803.0,0,0,0,1,0.1875,0
23,2023-10-09 23:00,240272260.0,0,0,0,0,0.0,0
24,2023-10-10 00:00,194285523.0,0,0,0,0,0.0,0
25,2023-10-10 01:00,148341839.0,0,0,0,0,0.0,0
26,2023-10-10 02:00,332949375.0,0,0,0,0,0.0,0
27,2023-10-10 03:00,790547323.0,0,0,0,0,0.0,0
28,2023-10-10 04:00,791870273.0,0,0,0,0,0.0,0
29,2023-10-10 05:00,649757986.0,0,0,0,0,0.0,0
