index,timestamp,value,is_weekend_or_holiday,signal_earthgeckoSkyline,signal_echoStateNetwork,signal_bayesChangePt,cwde_score,cwde_alert
0,2023-10-09 00:00,149380.0,0,0,0,0,0.0,0
1,2023-10-09 01:00,317195.0,0,0,0,0,0.0,0
2,2023-10-09 02:00,813565.0,0,0,0,0,0.0,0
3,2023-10-09 03:00,1175026.0,0,0,0,0,0.0,0
4,2023-10-09 04:00,834388.0,0,0,0,0,0.0,0
5,2023-10-09 05:00,595122.0,0,0,0,0,0.0,0
6,2023-10-09 06:00,905112.0,0,0,0,0,0.0,0
7,2023-10-09 07:00,823659.0,0,0,0,0,0.0,0
8,2023-10-09 08:00,1602453.0,0,0,0,0,0.0,0
9,2023-10-09 09:00,702149.0,0,0,0,0,0.0,0
10,2023-10-09 10:00,572615.0,0,0,0,0,0.0,0
11,2023-10-09 11:00,364934.0,0,0,0,0,0.0,0
12,2023-10-09 12:00,335470.0,0,0,0,0,0.0,0
13,2023-10-09 13:00,270621.0,0,0,0,0,0.0,0
14,2023-10-09 14:00,366160.0,0,0,0,0,0.0,0
15,2023-10-09 15:00,301095.0,0,0,0,0,0.0,0
16,2023-10-09 16:00,198176.0,0,0,0,0,0.0,0
17,2023-10-09 17:00,234874.0,0,0,0,0,0.0,0
18,2023-10-09 18:00,253260.0,0,0,0,0,0.0,0
19,2023-10-09 19:00,136601.0,0,0,0,0,0.0,0
20,2023-10-09 20:00,423106.0,0,0,0,0,0.0,0
21,2023-10-09 21:00,384019.0,0,0,0,0,0.0,0
22,2023-10-09 22:00,390339.0,0,0,0,1,0.16666666666666666,0
23,2023-10-09 23:00,267428.0,0,0,0,0,0.0,0
24,2023-10-10 00:00,236149.0,0,0,0,0,0.0,0
25,2023-10-10 01:00,216208.0,0,0,0,0,0.0,0
26,2023-10-10 02:00,492319.0,0,0,0,0,0.0,0
27,2023-10-10 03:00,968563.0,0,0,0,0,0.0,0
28,2023-10-10 04:00,959928.0,0,0,0,0,0.0,0
29,2023-10-10 05:00,736720.0,0,0,0,0,0.0,0
30,2023-10-10 06:00,833946.0,0,0,0,0,0.0,0
31,2023-10-10 07:00,792858.0,0,0,0,0,0.0,0
32,2023-10-10 08:00,668103.0,0,0,0,0,0.0,0
33,2023-10-10 09:00,824022.0,0,0,0,0,0.0,0
34,2023-10-10 10:00,1248378.0,0,0,0,0,0.0,0
35,2023-10-10 11:00,429418.0,0,0,0,0,0.0,0
36,2023-10-10 12:00,333578.0,0,0,0,0,0.0,0
37,2023-10-10 13:00,261502.0,0,0,0,0,0.0,0
38,2023-10-10 14:00,163427.0,0,0,0,0,0.0,0
39,2023-10-10 15:00,547664.0,0,0,0,0,0.0,0
40,2023-10-10 16:00,424202.0,0,0,0,0,0.0,0
41,2023-10-10 17:00,575889.0,0,0,0,0,0.0,0
42,2023-10-10 18:00,215927.0,0,0,0,0,0.0,0
43,2023-10-10 19:00,339661.0,0,0,0,0,0.0,0
44,2023-10-10 20:00,584820.0,0,0,0,0,0.0,0
45,2023-10-10 21:00,255122.0,0,0,0,0,0.0,0
46,2023-10-10 22:00,205887.0,0,0,0,0,0.0,0
47,2023-10-10 23:00,185081.0,0,0,0,0,0.0,0
48,2023-10-11 00:00,487293.0,0,0,0,0,0.0,0
49,2023-10-11 01:00,206724.0,0,0,0,0,0.0,0
50,2023-10-11 02:00,704326.0,0,0,0,0,0.0,0
51,2023-10-11 03:00,1144605.0,0,0,1,0,0.3333333333333333,0
52,2023-10-11 04:00,794298.0,0,0,0,0,0.0,0
53,2023-10-11 05:00,786851.0,0,0,0,0,0.0,0
54,2023-10-11 06:00,599977.0,0,0,0,0,0.0,0
55,2023-10-11 07:00,1346443.0,0,0,1,0,0.3333333333333333,0
56,2023-10-11 08:00,732830.0,0,0,0,0,0.0,0
57,2023-10-11 09:00,995340.0,0,0,0,0,0.0,0
58,2023-10-11 10:00,926727.0,0,0,0,0,0.0,0
59,2023-10-11 11:00,385980.0,0,0,0,0,0.0,0
60,2023-10-11 12:00,556164.0,0,0,0,0,0.0,0
61,2023-10-11 13:00,605730.0,0,0,0,0,0.0,0
62,2023-10-11 14:00,189969.0,0,0,0,0,0.0,0
63,2023-10-11 15:00,435883.0,0,0,0,0,0.0,0
64,2023-10-11 16:00,761352.0,0,0,0,0,0.0,0
65,2023-10-11 17:00,580389.0,0,0,0,0,0.0,0
66,2023-10-11 18:00,792293.0,0,0,0,0,0.0,0
67,2023-10-11 19:00,763714.0,0,0,0,0,0.0,0
68,2023-10-11 20:00,348119.0,0,0,0,0,0.0,0
69,2023-10-11 21:00,437622.0,0,0,0,0,0.0,0
70,2023-10-11 22:00,497242.0,0,0,0,0,0.0,0
71,2023-10-11 23:00,354001.0,0,0,0,0,0.0,0
72,2023-10-12 00:00,209623.0,0,0,0,0,0.0,0
73,2023-10-12 01:00,469020.0,0,0,0,0,0.0,0
74,2023-10-12 02:00,831524.0,0,0,0,0,0.0,0
75,2023-10-12 03:00,897485.0,0,0,0,0,0.0,0
76,2023-10-12 04:00,788097.0,0,0,0,0,0.0,0
77,2023-10-12 05:00,951692.0,0,0,0,0,0.0,0
78,2023-10-12 06:00,801900.0,0,0,0,0,0.0,0
79,2023-10-12 07:00,1247858.0,0,0,0,0,0.0,0
80,2023-10-12 08:00,1173985.0,0,0,0,0,0.0,0
81,2023-10-12 09:00,905588.0,0,0,0,0,0.0,0
82,2023-10-12 10:00,885546.0,0,0,0,0,0.0,0
83,2023-10-12 11:00,451043.0,0,0,0,0,0.0,0
84,2023-10-12 12:00,710650.0,0,0,0,0,0.0,0
85,2023-10-12 13:00,349808.0,0,0,0,0,0.0,0
86,2023-10-12 14:00,514674.0,0,0,0,0,0.0,0
87,2023-10-12 15:00,3075586.0,0,0,1,1,0.5,0
88,2023-10-12 16:00,597971.0,0,0,0,0,0.0,0
89,2023-10-12 17:00,541950.0,0,0,0,0,0.0,0
90,2023-10-12 18:00,350305.0,0,0,0,0,0.0,0
91,2023-10-12 19:00,124132.0,0,0,0,0,0.0,0
92,2023-10-12 20:00,158435.0,0,0,0,0,0.0,0
93,2023-10-12 21:00,121599.0,0,0,0,0,0.0,0
94,2023-10-12 22:00,203939.0,0,0,0,0,0.0,0
95,2023-10-12 23:00,134464.0,0,0,0,1,0.16666666666666666,0
96,2023-10-13 00:00,265757.0,0,0,0,0,0.0,0
97,2023-10-13 01:00,269311.0,0,0,0,0,0.0,0
98,2023-10-13 02:00,678205.0,0,0,0,0,0.0,0
99,2023-10-13 03:00,851228.0,0,0,0,0,0.0,0
100,2023-10-13 04:00,938808.0,0,0,0,0,0.0,0
101,2023-10-13 05:00,731931.0,0,0,0,0,0.0,0
102,2023-10-13 06:00,878607.0,0,0,0,0,0.0,0
103,2023-10-13 07:00,931576.0,0,0,0,0,0.0,0
104,2023-10-13 08:00,1715881.0,0,0,1,0,0.3333333333333333,0
105,2023-10-13 09:00,1094263.0,0,0,0,0,0.0,0
106,2023-10-13 10:00,817509.0,0,0,0,0,0.0,0
